Youtuber,category,Title,Country,Abbreviation,channel_type,created_month,subscribers,video views,uploads,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_date
Zeinab Harake,unknown,Zeinab Harake,Philippines,PH,People,Oct,13600000,896891351.0,273,12088000.0,3000.0,48400.0,36300.0,580200.0,100000.0,2017.0,19.0
DALLMYD,Sports,DALLMYD,United States,US,Sports,Feb,13600000,1948925559.0,412,30677000.0,7700.0,122700.0,92000.0,1500000.0,100000.0,2011.0,1.0
Lindsey Stirling,Music,Lindsey Stirling,United States,US,Music,May,13600000,3764608356.0,199,15277000.0,3800.0,61100.0,45800.0,733300.0,100000.0,2007.0,20.0
JOJO TV - Hindi Stories,Education,JOJO TV - Hindi Stories,India,IN,Film,Dec,13600000,5141201173.0,1097,10764000.0,2700.0,43100.0,32300.0,516700.0,100000.0,2016.0,25.0
BBC,Pets & Animals,BBC,United Kingdom,GB,Entertainment,Nov,13600000,9685060624.0,16047,44414000.0,11100.0,177700.0,133200.0,2100000.0,100000.0,2005.0,12.0
Saturday Night Live,Entertainment,Saturday Night Live,United States,US,Comedy,Jul,13600000,14717282742.0,8335,56626000.0,14200.0,226500.0,169900.0,2700000.0,600000.0,2013.0,23.0
BUDI01 GAMING,Gaming,BUDI01 GAMING,Indonesia,ID,Games,Jul,13500000,1181292450.0,319,13436000.0,3400.0,53700.0,40300.0,644900.0,100000.0,2019.0,19.0
Typical Gamer,Gaming,Typical Gamer,Canada,CA,Games,Aug,13500000,4301581610.0,4312,32557000.0,8100.0,130200.0,97700.0,1600000.0,1300000.0,2008.0,24.0
Anaysa,Howto & Style,Anaysa,India,IN,Howto,Mar,13500000,3445794123.0,591,29706000.0,7400.0,118800.0,89100.0,1400000.0,100000.0,2012.0,10.0
JULIA GISELLA,Entertainment,Julia Gisella,United Kingdom,GB,Music,Mar,13500000,5380132790.0,19,1615.0,0.4,6.0,5.0,78.0,130.0,2015.0,24.0
Awakening Music,Music,Awakening Music,United Kingdom,GB,Music,Dec,13500000,5545936485.0,814,35309000.0,8800.0,141200.0,105900.0,1700000.0,100000.0,2006.0,25.0
Lady Diana,Entertainment,Lady Diana,Ukraine,UA,People,Mar,13500000,8265920659.0,1403,75162000.0,18800.0,300600.0,225500.0,3600000.0,100000.0,2016.0,21.0
Sanjoy Das Official,Entertainment,Sanjoy Das Official,India,IN,Games,Apr,13500000,3912334359.0,1793,179232000.0,44800.0,716900.0,537700.0,8600000.0,400000.0,2015.0,29.0
Woody & Kleiny,Comedy,Woody & Kleiny,United Kingdom,GB,Entertainment,Mar,13500000,11717217293.0,975,495561000.0,123900.0,2000000.0,1500000.0,23800000.0,400000.0,2013.0,30.0
Vijay Kumar Viner Vlogs,Entertainment,Vijay Kumar Viner Vlogs,India,IN,Entertainment,Mar,13500000,7958771872.0,1357,109813000.0,27500.0,439300.0,329400.0,5300000.0,300000.0,2019.0,22.0
Conor Maynard,Music,Conor Maynard,United States,US,Music,May,13500000,2750993392.0,321,10787000.0,2700.0,43100.0,32400.0,517800.0,100000.0,2006.0,19.0
